UPS,Sku,Qty,Price,Markup Percentage,MAP,Domestic Shipping,Markup Price,Retail Price,Category
,"benchmark-83005",100,,0,0,,0,,
,"benchmark-83701",100,,0,0,17.99,0,,
,"benchmark-91001",100,,0,0,,0,,
,"benchmark-92001",100,,0,0,14.99,0,,
,"benchmark-92002",100,,0,0,,0,,
,"benchmark-92003",100,,0,0,14.99,0,,
,"benchmark-92004",100,,0,0,,0,,
,"benchmark-92005",100,,0,0,14.99,0,,
,"benchmark-92006",100,,0,0,,0,,
,"mrs-1002BSC",0,,,,,,,Discontinued
,"mrs-1003BSS",0,,,,,,,Discontinued
,"mrs-1004MABS",0,,,,,,,Discontinued
,"mrs-1005BSG",0,,,,,,,Discontinued
,"mrs-1006MABS",0,,,,,,,Discontinued
,"mrs-1007",0,,,,,,,Discontinued
,"mrs-1008BSF",0,,,,,,,Discontinued
,"mrs-1009BSS",0,,,,,,,Discontinued
,"mrs-1010MDBS",0,,,,,,,Discontinued
,"mrs-1013BS",0,,,,,,,Discontinued
,"mrs-1014BSG",0,,,,,,,Discontinued
,"mrs-1015GBS",0,,,,,,,Discontinued
,"mrs-1016BSG",0,,,,,,,Discontinued
,"mrs-1019MBS",0,,,,,,,Discontinued
,"mrs-10218",0,,,,,,,Discontinued
,"mrs-10220",0,,,,,,,Discontinued
,"mrs-10223",0,,,,,,,Discontinued
,"mrs-10225",0,,,,,,,Discontinued
,"mrs-10227",0,,,,,,,Discontinued
,"mrs-10241",0,,,,,,,Discontinued
,"mrs-1025BS",0,,,,,,,Discontinued
,"mrs-10287",0,,,,,,,Discontinued
,"mrs-10360",0,,,,,,,Discontinued
,"mrs-10552",0,,,,,,,Discontinued
,"mrs-10558",0,,,,,,,Discontinued
,"mrs-12051",0,,,,,,,Discontinued
,"mrs-12109",0,,,,,,,Discontinued
,"mrs-12111",0,,,,,,,Discontinued
,"mrs-12113",0,,,,,,,Discontinued
,"mrs-12115",0,,,,,,,Discontinued
,"mrs-12118",0,,,,,,,Discontinued
,"mrs-12120",0,,,,,,,Discontinued
,"mrs-12122LG",0,,,,,,,Discontinued
,"mrs-12122MD",0,,,,,,,Discontinued
,"mrs-12449",0,,,,,,,Discontinued
,"mrs-13502",0,,,,,,,Discontinued
,"mrs-13951",0,,,,,,,Discontinued
,"mrs-14015",0,,,,,,,Discontinued
,"mrs-14051",0,,,,,,,Discontinued
,"mrs-14521",0,,,,,,,Discontinued
,"mrs-14532",0,,,,,,,Discontinued
,"mrs-1509BS",0,,,,,,,Discontinued
,"mrs-1512BS",0,,,,,,,Discontinued
,"mrs-16055",0,,,,,,,Discontinued
,"mrs-16502",0,,,,,,,Discontinued
,"mrs-16601",0,,,,,,,Discontinued
,"mrs-16605",0,,,,,,,Discontinued
,"mrs-2105BS",0,,,,,,,Discontinued
,"mrs-2509BS",0,,,,,,,Discontinued
,"mrs-2539BS",0,,,,,,,Discontinued
,"mrs-2554BS",0,,,,,,,Discontinued
,"mrs-2558BS",0,,,,,,,Discontinued
,"mrs-2569BS",0,,,,,,,Discontinued
,"mrs-2573BS",0,,,,,,,Discontinued
,"mrs-29027",0,,,,,,,Discontinued
,"mrs-3006BS",0,,,,,,,Discontinued
,"mrs-3051BS",0,,,,,,,Discontinued
,"mrs-3058BS",0,,,,,,,Discontinued
,"mrs-33660",0,,,,,,,Discontinued
,"mrs-33708",0,,,,,,,Discontinued
,"mrs-33796",0,,,,,,,Discontinued
,"mrs-33803",0,,,,,,,Discontinued
,"mrs-33807",0,,,,,,,Discontinued
,"mrs-3502BS",0,,,,,,,Discontinued
,"mrs-3522BS",0,,,,,,,Discontinued
,"mrs-3524BS",0,,,,,,,Discontinued
,"mrs-40756",0,,,,,,,Discontinued
,"mrs-45054",0,,,,,,,Discontinued
,"mrs-4507BS",0,,,,,,,Discontinued
,"mrs-45556",0,,,,,,,Discontinued
,"mrs-45756",0,,,,,,,Discontinued
,"mrs-5019BS",0,,,,,,,Discontinued
,"mrs-51001",0,,,,,,,Discontinued
,"mrs-55001BN",0,,,,,,,Discontinued
,"mrs-55100",0,,,,,,,Discontinued
,"mrs-6002MBS",0,,,,,,,Discontinued
,"mrs-7002BS",0,,,,,,,Discontinued
,"mrs-7009BS",0,,,,,,,Discontinued
,"mrs-7015BS",0,,,,,,,Discontinued
,"mrs-8004BS",0,,,,,,,Discontinued
,"mrs-8012BS",0,,,,,,,Discontinued
,"mrs-80502",0,,,,,,,Discontinued
,"mrs-80510C",0,,,,,,,Discontinued
,"mrs-80526C",0,,,,,,,Discontinued
,"mrs-80529",0,,,,,,,Discontinued
,"mrs-80924",0,,,,,,,Discontinued
,"mrs-82001",0,,,,,,,Discontinued
,"mrs-82026",0,,,,,,,Discontinued
,"mrs-82210R",0,,,,,,,Discontinued
